n_samples,seed,precision,recall,f1,shd,exact_match,runtime
100,42,1.0,0.875,0.9333333333333333,3,False,0.028804284999978336
100,43,0.7777777777777778,0.875,0.823529411764706,5,False,0.050901049000003695
100,44,0.8888888888888888,1.0,0.9411764705882353,1,False,0.044562911999946664
100,45,0.8888888888888888,1.0,0.9411764705882353,2,False,0.028470725999795832
100,46,1.0,1.0,1.0,0,True,0.023330551000071864
250,42,1.0,1.0,1.0,0,True,0.021602052000162075
250,43,1.0,1.0,1.0,0,True,0.02112633599995206
250,44,1.0,1.0,1.0,0,True,0.02520223999999871
250,45,0.8888888888888888,1.0,0.9411764705882353,4,False,0.03296855899998263
250,46,1.0,1.0,1.0,3,False,0.027550470000051064
500,42,1.0,1.0,1.0,0,True,0.022638760000063485
500,43,1.0,1.0,1.0,0,True,0.030683097000064663
500,44,1.0,1.0,1.0,0,True,0.041665459000114424
500,45,1.0,1.0,1.0,0,True,0.03764901999988979
500,46,1.0,1.0,1.0,0,True,0.02800079000007827
1000,42,1.0,1.0,1.0,0,True,0.027765719999933935
1000,43,0.8888888888888888,1.0,0.9411764705882353,4,False,0.0280181339999217
1000,44,1.0,1.0,1.0,0,True,0.022038229000145293
1000,45,0.8888888888888888,1.0,0.9411764705882353,1,False,0.023247549000188883
1000,46,1.0,1.0,1.0,0,True,0.03782369700002164
2000,42,1.0,1.0,1.0,0,True,0.04638349700007893
2000,43,1.0,1.0,1.0,0,True,0.03903466799988564
2000,44,1.0,1.0,1.0,0,True,0.03728645099999994
2000,45,1.0,1.0,1.0,0,True,0.034974146999957156
2000,46,1.0,1.0,1.0,0,True,0.0213910349998514
5000,42,1.0,1.0,1.0,0,True,0.05753919399990082
5000,43,1.0,1.0,1.0,0,True,0.0399002079998354
5000,44,1.0,1.0,1.0,0,True,0.0351745299999493
5000,45,1.0,1.0,1.0,0,True,0.03737100199987253
5000,46,0.8888888888888888,1.0,0.9411764705882353,3,False,0.04108062099999188
